pgfam	Escherichia_coli_str._K-12_substr._MG1655	Escherichia_coli_strain_1408270010	Escherichia_coli_strain_1409150006	Escherichia_coli_strain_1512290008	Escherichia_coli_strain_1409160003	Escherichia_coli_strain_20170221001	Escherichia_coli_NC101	Escherichia_coli_strain_1512290026	Escherichia_coli_IHE3034	Escherichia_coli_UTI89
PGF_08225224	50.0	156.0	167.0	161.0	116.0	123.0	139.0	118.0	95.0	120.0
PGF_01000105	1.0	40.0	42.0	47.0	31.0	14.0	21.0	12.0	9.0	29.0
PGF_03024018	18.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	6.0	6.0
PGF_05075091	1.0	13.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
PGF_00047661	0.0	6.0	5.0	6.0	4.0	0.0	1.0	1.0	0.0	2.0
PGF_06366833	4.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	6.0	4.0
PGF_07937889	2.0	1.0	1.0	1.0	0.0	2.0	1.0	1.0	5.0	3.0
PGF_10529284	3.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	4.0	3.0
PGF_10443983	0.0	1.0	1.0	1.0	0.0	1.0	3.0	1.0	2.0	2.0
PGF_00369678	1.0	1.0	1.0	1.0	1.0	0.0	2.0	1.0	4.0	2.0
PGF_05517117	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	2.0
PGF_06251490	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0
PGF_05849317	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0
PGF_05542681	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0
PGF_00152043	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0
PGF_00304707	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0
PGF_10382009	0.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	5.0	3.0
PGF_09123954	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	3.0
PGF_08770713	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	3.0
PGF_07780229	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	3.0
PGF_06635227	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	3.0
PGF_04733992	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	3.0
PGF_04072770	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	3.0
PGF_00032068	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	3.0
PGF_00072235	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	3.0
PGF_07632779	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	3.0
PGF_06899672	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	3.0
PGF_00032077	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	3.0
PGF_02380660	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	3.0
PGF_00798868	0.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	5.0	3.0
PGF_07687609	2.0	2.0	2.0	2.0	0.0	1.0	2.0	2.0	5.0	3.0
PGF_06989225	0.0	2.0	3.0	2.0	1.0	0.0	0.0	3.0	0.0	0.0
PGF_00217382	0.0	3.0	3.0	4.0	1.0	0.0	1.0	3.0	0.0	0.0
PGF_01032876	0.0	2.0	3.0	3.0	1.0	0.0	1.0	3.0	0.0	0.0
PGF_00201357	0.0	2.0	3.0	3.0	0.0	0.0	2.0	4.0	0.0	0.0
PGF_04563108	0.0	3.0	3.0	3.0	1.0	0.0	3.0	3.0	0.0	0.0
PGF_08035382	0.0	3.0	2.0	3.0	1.0	0.0	2.0	3.0	0.0	0.0
PGF_10392806	0.0	2.0	4.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0
PGF_03332847	0.0	2.0	3.0	2.0	0.0	0.0	1.0	2.0	0.0	0.0
